v4	I(R2)
1,019531238400020e+000	8,845930e-011
1,019607532300020e+000	8,846050e-011
1,019683826200021e+000	8,845935e-011
1,019760120100021e+000	8,846025e-011
1,019836414000021e+000	8,845882e-011
1,019912707900021e+000	8,845946e-011
1,019989001800021e+000	8,845997e-011
1,020065295700021e+000	8,846032e-011
1,020141589600021e+000	8,846059e-011
1,020217883500021e+000	8,846072e-011
1,020294177400021e+000	8,846067e-011
1,020370471300021e+000	8,846051e-011
1,020446765200021e+000	8,846018e-011
1,020523059100021e+000	8,845975e-011
1,020599353000022e+000	8,845918e-011
1,020675646900022e+000	8,846060e-011
1,020751940800022e+000	8,845974e-011
1,020828234700022e+000	8,845875e-011
1,020904528600022e+000	8,845976e-011
1,020980822500022e+000	8,846059e-011
1,021057116400022e+000	8,845915e-011
1,021133410300022e+000	8,845976e-011
1,021209704200022e+000	8,846024e-011
1,021285998100022e+000	8,846057e-011
1,021362292000022e+000	8,846073e-011
1,021438585900022e+000	8,846079e-011
1,021514879800022e+000	8,846073e-011
1,021591173700023e+000	8,846051e-011
1,021667467600023e+000	8,846019e-011
1,021743761500023e+000	8,845976e-011
1,021820055400023e+000	8,845918e-011
1,021896349300023e+000	8,846059e-011
1,021972643200023e+000	8,845975e-011
1,022048937100023e+000	8,845880e-011
1,022125231000023e+000	8,845980e-011
1,022201524900023e+000	8,846067e-011
1,022277818800023e+000	8,845923e-011
1,022354112700023e+000	8,845982e-011
1,022430406600023e+000	8,846026e-011
1,022506700500024e+000	8,846054e-011
1,022582994400024e+000	8,846065e-011
1,022659288300024e+000	8,846057e-011
1,022735582200024e+000	8,846040e-011
1,022811876100024e+000	8,846011e-011
1,022888170000024e+000	8,845970e-011
1,022964463900024e+000	8,845916e-011
1,023040757800024e+000	8,846065e-011
1,023117051700024e+000	8,845982e-011
1,023193345600024e+000	8,845886e-011
1,023269639500024e+000	8,845992e-011
1,023345933400024e+000	8,845869e-011
1,023422227300024e+000	8,845943e-011
1,023498521200025e+000	8,845998e-011
1,023574815100025e+000	8,846038e-011
1,023651109000025e+000	8,846063e-011
1,023727402900025e+000	8,846075e-011
1,023803696800025e+000	8,846065e-011
1,023879990700025e+000	8,846033e-011
1,023956284600025e+000	8,845991e-011
1,024032578500025e+000	8,845931e-011
1,024108872400025e+000	8,846070e-011
1,024185166300025e+000	8,845977e-011
1,024261460200025e+000	8,845871e-011
1,024337754100025e+000	8,845961e-011
1,024414048000025e+000	8,846034e-011
1,024490341900026e+000	8,845877e-011
1,024566635800026e+000	8,845917e-011
1,024642929700026e+000	8,845945e-011
1,024719223600026e+000	8,845953e-011
1,024795517500026e+000	8,845950e-011
1,024871811400026e+000	8,845930e-011
1,024948105300026e+000	8,845903e-011
1,025024399200026e+000	8,845866e-011
1,025100693100026e+000	8,846024e-011
1,025176987000026e+000	8,845952e-011
1,025253280900026e+000	8,845866e-011
1,025329574800026e+000	8,845986e-011
1,025405868700027e+000	8,845875e-011
1,025482162600027e+000	8,845961e-011
1,025558456500027e+000	8,846028e-011
1,025634750400027e+000	8,845861e-011
1,025711044300027e+000	8,845897e-011
1,025787338200027e+000	8,845912e-011
1,025863632100027e+000	8,845914e-011
1,025939926000027e+000	8,845894e-011
1,026016219900027e+000	8,845863e-011
1,026092513800027e+000	8,846032e-011
1,026168807700027e+000	8,845974e-011
1,026245101600027e+000	8,845905e-011
1,026321395500027e+000	8,846038e-011
1,026397689400028e+000	8,845937e-011
1,026473983300028e+000	8,846045e-011
1,026550277200028e+000	8,845926e-011
1,026626571100028e+000	8,846002e-011
1,026702865000028e+000	8,846064e-011
1,026779158900028e+000	8,845895e-011
1,026855452800028e+000	8,845927e-011
1,026931746700028e+000	8,845946e-011
1,027008040600028e+000	8,845950e-011
1,027084334500028e+000	8,845941e-011
1,027160628400028e+000	8,845911e-011
1,027236922300028e+000	8,845862e-011
1,027313216200029e+000	8,846016e-011
1,027389510100029e+000	8,845931e-011
1,027465804000029e+000	8,846044e-011
1,027542097900029e+000	8,845927e-011
1,027618391800029e+000	8,846006e-011
1,027694685700029e+000	8,846068e-011
1,027770979600029e+000	8,845903e-011
1,027847273500029e+000	8,845938e-011
1,027923567400029e+000	8,845961e-011
1,027999861300029e+000	8,845970e-011
1,028076155200029e+000	8,845969e-011
1,028152449100029e+000	8,845957e-011
1,028228743000029e+000	8,845928e-011
1,028305036900030e+000	8,845882e-011
1,028381330800030e+000	8,846043e-011
1,028457624700030e+000	8,845977e-011
1,028533918600030e+000	8,845899e-011
1,028610212500030e+000	8,846025e-011
1,028686506400030e+000	8,845919e-011
1,028762800300030e+000	8,846017e-011
1,028839094200030e+000	8,845884e-011
1,028915388100030e+000	8,845957e-011
1,028991682000030e+000	8,846007e-011
1,029067975900030e+000	8,846037e-011
1,029144269800030e+000	8,846057e-011
1,029220563700031e+000	8,846057e-011
1,029296857600031e+000	8,846038e-011
1,029373151500031e+000	8,846010e-011
1,029449445400031e+000	8,845964e-011
1,029525739300031e+000	8,845900e-011
1,029602033200031e+000	8,846038e-011
1,029678327100031e+000	8,845946e-011
1,029754621000031e+000	8,846048e-011
